"Warna","TDS","Kekeruhan","Suhu","E. Coli","Total Koliform","Fluorida","Total Kromium","Nitrit","Nitrat","Sianida","Aluminium","Besi","Kesadahan","Khlorida","Mangan","pH","Seng","Sulfat","Tembaga","Amonia","Zat Organik","Karbondioksida Bebas","Alkalinitas Total","Label"
"1","123","0.86","25","0","0","0.01","0.01","0.009","0.15","0.003","0.003","0.01","46.4","5.8","0.017","7.15","0.03","17","0.03","0.01","7.4","89.76","18","Layak Diminum"
"1","125","0.86","25","0","0","0.07","0.02","0.009","0.04","0.004","0.008","0.03","29.7","10.9","0.007","7.17","0.02","13","0.01","0.01","5.0","68.64","18","Layak Diminum"
"1","80.1","0.8","23","0","0","0.08","0.03","0.001","0.06","0.002","0.06","0.05","49.5","11","0.008","7.68","0.04","21","0.02","0.02","1.5","32.56","33","Layak Diminum"
"1","84","0.63","23","0","0","0.07","0.02","0.004","0.07","0.002","0.017","0.03","41.58","6.4","0.007","7.21","0.04","18","0.03","0.01","2.7","6.16","14","Layak Diminum"
"1","81","0.68","23","0","0","0.06","0.03","0.009","0.05","0.003","0.061","0.05","48.2","3.7","0.05","7.16","0.05","8","0.02","0.04","4.2","40.04","37","Layak Diminum"
"1","85","0.75","23","0","0","0.03","0.01","0.008","0.03","0.002","0.017","0.01","91.08","3.4","0.007","7.5","0.01","7","0.01","0.02","2.1","7.48","35.3","Layak Diminum"
"1","82","0.77","23","0","0","0.03","0.02","0.009","0.05","0.002","0.05","0.03","39.6","15.2","0.004","6.93","0.02","8","0.02","0.01","5.3","9.68","33","Layak Diminum"
"1","78","0.73","23","0","0","0.01","0.02","0.002","0.12","0.001","0.003","0.05","80.2","3.5","0.0074","7.2","0.02","9","0.02","0.05","1.5","4.4","35","Layak Diminum"
"1","78","0.78","23","0","0","0.02","0.02","0.002","0.05","0.002","0.011","0.07","57.4","11.4","0.013","7.05","0.03","24","0.02","0.05","1.5","68.64","18","Layak Diminum"
"1","85","0.77","23","0","0","0.08","0.03","0.001","0.06","0.002","0.06","0.05","49.5","11","0.008","7.68","0.04","21","0.02","0.02","1.5","32.56","33","Layak Diminum"
"1","76","0.79","23","0","0","0.02","0.01","0.002","0.09","0.003","0.016","0.03","22.8","17.5","0.021","6.92","0.02","17","0.02","0.02","1.8","7.04","54.5","Layak Diminum"
"1","89","0.71","23","0","0","0.02","0.01","0.006","0.03","0.002","0.005","0.02","44.6","10.5","0.005","7.07","0.06","30","0.02","0.02","3.9","73.92","19","Layak Diminum"
"1","76.5","0.76","24","0","0","0.05","0.03","0.002","0.02","0.002","0.007","0.02","104","10.8","0.013","7.16","0.02","13","0.02","0.02","7.4","89.76","19","Layak Diminum"
"1","76.8","0.79","24","0","0","0.4","0.01","0.005","0.02","0.002","0.007","0.08","41.58","6","0.005","7.26","0.07","16","0.01","0.04","2.7","32.56","19","Layak Diminum"
"1","77.8","0.8","24","0","0","0.04","0.02","0.002","0.07","0.002","0.05","0.05","43.56","11.5","0.007","6.6","0.07","19","0.03","0.03","6.5","31.24","38","Layak Diminum"
"1","83.4","0.8","24","0","0","0.06","0.03","0.007","0.05","0.001","0.06","0.06","51.48","10.2","0.004","6.68","0.03","21","0.02","0.02","6.5","30.8","36","Layak Diminum"
"1","81.6","0.81","24","0","0","0.05","0.03","0.003","0.06","0.002","0.061","0.07","37.62","12.3","0.008","7.77","0.04","19","0.02","0.02","1.2","33","34","Layak Diminum"
"1","76.6","0.76","24","0","0","0.06","0.01","0.008","0.04","0.003","0.011","0.07","49.5","4.2","0.006","7.16","0.02","16","0.02","0.25","4.8","6.16","14","Layak Diminum"
"1","78.9","0.77","23","0","0","0.03","0.02","0.01","0.02","0.002","0.007","0.03","57.4","3.6","0.009","7.12","0.04","15","0.02","0.04","3.9","32.56","33","Layak Diminum"
"1","76.8","0.8","23","0","0","0.02","0.02","0.007","0.05","0.001","0.008","0.02","43.56","3.5","0.006","7.6","0.02","9","0.02","0.02","3.6","6.6","34","Layak Diminum"
"1","74.6","0.68","21","0","0","0.03","0.02","0.005","0.14","0.002","0.02","0.04","33.7","13.2","0.015","6.98","0.04","13","0.02","0.02","1.5","32.56","12","Layak Diminum"
"1","141","1.18","23","0","0","0.06","0.02","0.016","0.08","0.003","0.017","0.03","83.2","9.0","0.018","6.98","0.03","11","0","0","1.8","32.6","25","Layak Diminum"
"1","143","1.22","23","0","0","0.07","0.03","0.023","0.05","0.002","0.014","0.07","45.5","7.1","0.018","7.33","0.06","18","0.03","0.08","2.7","3.5","18.0","Layak Diminum"
"1","138","1.26","23","0","0","0.14","0.00","0.002","0.19","0.005","0.071","0.01","39.6","9.0","0.006","7.11","0.01","15","0.01","0.00","2.1","44.0","27.0","Layak Diminum"
"1","418","0.93","24","0","0","0.07","0.02","0.025","0.05","0.003","0.027","0.08","41.6","6.6","0.014","7.28","0.06","21","0.03","0.08","2.1","4.4","22.0","Layak Diminum"
"1","407","0.87","24","0","0","0.08","0.02","0.019","0.07","0.003","0.015","0.06","49.5","7.0","0.014","7.35","0.04","19","0.01","0.11","2.4","6.2","22.0","Layak Diminum"
"1","413","0.88","24","0","0","0.04","0.01","0.021","0.06","0.002","0.025","0.08","41.6","4.6","0.012","6.83","0.04","19","0.02","0.07","2.4","37.0","16.0","Layak Diminum"
"2","416","0.86","24","0","0","0.08","0.01","0.025","0.06","0.003","0.013","0.02","89.1","12.1","0.008","6.97","0.04","5","0.03","0.06","1.5","79.2","93.0","Layak Diminum"
"1","407","0.9","23","0","0","0.05","0.01","0.020","0.05","0.003","0.018","0.03","89.1","40.1","0.012","7.67","0.06","14","0.01","0.12","2.7","107.4","232.0","Tidak Layak Diminum"
"1","407","0.9","23","0","0","0.05","0.01","0.019","0.04","0.002","0.011","0.05","73.2","8.9","0.016","6.78","0.03","14","0.02","0.07","2.4","75.7","36.0","Layak Diminum"
"1","403","0.86","23","0","0","0.06","0.02","0.023","0.07","0.002","0.011","0.04","79.2","8.8","0.018","6.91","0.03","10","0.02","0.06","3.0","66.9","36.0","Layak Diminum"
"1","134","0.26","21","0","0","0.09","0.01","0.028","0.06","0.002","0.014","0.06","51.5","16.0","0.023","6.97","0.06","22","0.02","0.10","5.3","5.3","27.5","Layak Diminum"
"1","139","0.36","22","0","0","0.07","0.01","0.019","0.05","0.003","0.013","0.03","49.5","14.0","0.018","6.98","0.04","16","0.03","0.08","5.0","4.4","27.0","Layak Diminum"
"1","129","0.39","20","0","0","0.07","0.01","0.021","0.07","0.002","0.016","0.04","47.5","14.0","0.016","6.84","0.03","12","0.02","0.07","5.0","4.4","27.0","Layak Diminum"
"2","113","0.97","25","0","0","0.08","0.01","0.018","0.07","0.002","0.010","0.02","81.2","19.1","0.019","6.84","0.03","14","0.01","0.09","5.3","8.8","48.0","Layak Diminum"
"1","169","0.47","25","0","0","0.09","0.02","0.019","0.06","0.002","0.021","0.05","73.3","20.0","0.011","6.84","0.04","13","0.02","0.06","6.5","17.6","52.0","Layak Diminum"
"1","166","0.55","25","0","0","0.07","0.02","0.017","0.04","0.002","0.018","0.04","81.2","21.0","0.009","6.89","0.07","11","0.02","0.07","5.9","15.8","56.0","Layak Diminum"
"2","168","0.48","25","0","0","0.07","0.01","0.021","0.04","0.002","0.015","0.03","79.2","21.0","0.014","6.90","0.03","14","0.03","0.07","5.3","19.4","48.0","Layak Diminum"
"1","75","0.35","24","0","0","0.08","0.01","0.020","0.03","0.003","0.017","0.06","75.2","13.0","0.012","6.71","0.05","21","0.02","0.09","4.8","15.8","50.0","Layak Diminum"
"1","89","1.24","19","0","0","0.11","0.01","0.028","0.08","0.003","0.029","0.05","25.7","3.0","0.021","6.86","0.08","10","0.03","0.13","3.0","4.4","18.0","Layak Diminum"
"1","84","1.36","20","0","0","0.09","0.01","0.017","0.06","0.002","0.026","0.09","25.7","3.2","0.009","6.91","0.06","21","0.02","0.09","3.0","4.4","18.0","Layak Diminum"
"2","79","1.19","20","0","0","0.06","0.01","0.016","0.06","0.002","0.014","0.07","27.7","3.2","0.011","6.96","0.04","29","0.02","0.07","3.6","3.5","16.0","Layak Diminum"
"2","77","1.34","20","0","0","0.07","0.02","0.014","0.07","0.002","0.042","0.08","29.7","3.2","0.018","7.01","0.05","14","0.02","0.05","3.3","6.2","14.0","Layak Diminum"
"1","79","1.4","20","0","0","0.09","0.01","0.020","0.04","0.002","0.019","0.03","31.7","3.6","0.013","6.92","0.05","19","0.02","0.05","3.6","6.2","14.0","Layak Diminum"
"1","107","0.69","24","0","0","0.13","0.01","0.019","0.04","0.002","0.023","0.06","37.6","3.5","0.010","6.66","0.03","17","0.02","0.08","3.9","7.0","16.0","Layak Diminum"
"1","105","0.73","24","0","0","0.11","0.02","0.017","0.03","0.003","0.021","0.02","31.7","3.9","0.011","6.80","0.04","11","0.03","0.09","3.3","7.9","18.0","Layak Diminum"
"2","106","0.71","24","0","0","0.07","0.01","0.015","0.04","0.003","0.014","0.07","29.7","3.7","0.009","6.78","0.06","6","0.02","0.10","2.4","7.9","20.0","Layak Diminum"
"1","110","0.67","21","0","0","0.08","0.01","0.018","0.04","0.002","0.017","0.08","33.7","4.0","0.013","6.84","0.04","14","0.02","0.10","2.1","6.2","18.0","Layak Diminum"
"1","128","0.82","25","0","0","0.09","0.01","0.017","0.05","0.002","0.017","0.06","49.5","9.1","0.019","7.54","0.08","21","0.02","0.13","3.6","5.7","33.5","Layak Diminum"
"1","128","0.82","25","0","0","0.07","0.01","0.023","0.08","0.002","0.018","0.05","47.5","9.0","0.011","7.60","0.06","10","0.03","0.12","4.2","6.2","32.5","Layak Diminum"
"1","130","0.84","25","0","0","0.06","0.01","0.025","0.06","0.003","0.021","0.07","43.6","9.2","0.017","7.53","0.07","14","0.03","0.08","3.6","6.2","33.5","Layak Diminum"
"1","134","0.82","24","0","0","0.08","0.01","0.022","0.06","0.003","0.009","0.04","43.6","9.1","0.016","7.47","0.04","13","0.03","0.05","3.9","6.2","34.0","Layak Diminum"
"1","126","0.81","25","0","0","0.08","0.02","0.021","0.04","0.003","0.011","0.03","45.5","9.1","0.014","7.43","0.05","17","0.04","0.05","4.5","5.7","35.0","Layak Diminum"
"1","134","0.86","25","0","0","0.06","0.02","0.025","0.03","0.002","0.022","0.03","47.5","9.2","0.018","7.41","0.03","22","0.02","0.07","5.0","5.3","35.5","Layak Diminum"
"2","126","0.84","24","0","0","0.06","0.01","0.028","0.02","0.002","0.025","0.03","55.4","9.0","0.009","7.43","0.03","21","0.02","0.06","5.0","5.3","34.5","Layak Diminum"
"1","128","0.83","24","0","0","0.11","0.01","0.027","0.05","0.002","0.023","0.04","51.5","9.0","0.006","7.56","0.08","18","0.02","0.09","4.8","4.0","35.0","Layak Diminum"
"1","130","0.87","24","0","0","0.11","0.01","0.023","0.07","0.002","0.020","0.08","49.5","8.9","0.014","7.61","0.07","7","0.02","0.12","5.0","4.8","32.0","Layak Diminum"
"1","131","0.83","24","0","0","0.09","0.01","0.020","0.08","0.003","0.021","0.02","47.5","9.0","0.014","7.51","0.05","9","0.02","0.08","4.8","7.5","33.0","Layak Diminum"
"2","134","0.89","23","0","0","0.08","0.02","0.016","0.09","0.002","0.019","0.04","47.5","8.9","0.015","7.53","0.05","14","0.02","0.08","4.8","6.2","32.0","Layak Diminum"
"1","122","1.6","21","0","0","0.08","0.02","0.014","0.08","0.003","0.018","0.04","51.5","9.4","0.017","7.57","0.04","13","0.03","0.04","5.3","6.6","34.0","Layak Diminum"
"1","56.7","0.46","21","0","0","0.08","0.02","0.014","0.06","0.003","0.017","0.04","57.4","9.1","0.019","7.44","0.03","21","0.02","0.03","5.0","5.3","34.0","Layak Diminum"
"1","268","135.2","21","0","0","0.08","0.01","0.022","0.04","0.003","0.025","0.04","45.5","9.1","0.013","7.43","0.06","16","0.03","0.04","5.0","5.7","33.0","Layak Diminum"
"1","81.5","0.36","22","0","0","0.08","0.01","0.023","0.04","0.002","0.021","0.06","45.5","9.2","0.015","7.48","0.02","15","0.02","0.05","4.8","6.2","31.0","Layak Diminum"
"1","93.6","0.43","22","0","0","0.09","0.01","0.028","0.04","0.002","0.022","0.02","47.5","8.8","0.017","7.50","0.06","13","0.02","0.09","4.5","7.0","31.5","Layak Diminum"
"1","90.6","0.47","20","0","0","0.07","0.02","0.014","0.04","0.002","0.022","0.05","39.6","8.9","0.018","7.66","0.07","10","0.02","0.13","4.8","6.6","35.5","Layak Diminum"
"2","93.3","0.47","22","0","0","0.07","0.02","0.019","0.03","0.003","0.027","0.03","37.6","8.9","0.014","7.61","0.06","6","0.02","0.12","5.0","6.2","32.5","Layak Diminum"
"1","90.5","0.38","20","0","0","0.07","0.01","0.023","0.02","0.002","0.025","0.02","41.6","8.6","0.016","7.53","0.05","8","0.02","0.17","4.5","6.6","33.5","Layak Diminum"
"1","80.6","0.56","25","0","0","0.08","0.01","0.015","0.02","0.003","0.023","0.07","43.6","8.7","0.017","7.41","0.04","10","0.02","0.12","4.8","6.6","37.5","Layak Diminum"
"1","81.4","0.65","25","0","0","0.08","0.01","0.021","0.03","0.003","0.026","0.08","85.1","16.0","0.009","7.48","0.06","17","0.03","0.13","2.1","6.2","97.0","Layak Diminum"
"1","83.6","0.63","25","0","0","0.09","0.02","0.026","0.06","0.002","0.018","0.09","87.1","16.0","0.008","7.54","0.04","13","0.03","0.11","1.5","7.0","98.0","Layak Diminum"
"2","78.6","0.61","25","0","0","0.09","0.01","0.014","0.07","0.002","0.020","0.06","87.1","17.0","0.008","7.53","0.03","14","0.02","0.09","1.5","7.0","98.0","Layak Diminum"
"1","79.4","0.65","25","0","0","0.07","0.01","0.017","0.08","0.003","0.014","0.06","43.6","7.0","0.009","6.86","0.06","15","0.02","0.12","1.2","10.6","60.0","Layak Diminum"
"2","78.8","0.58","25","0","0","0.06","0.01","0.023","0.02","0.002","0.011","0.05","51.5","6.5","0.011","6.88","0.07","18","0.03","0.13","2.7","15.8","42.0","Layak Diminum"
"2","78.3","0.57","25","0","0","0.09","0.01","0.026","0.02","0.002","0.023","0.08","49.5","6.0","0.011","6.93","0.05","12","0.03","0.09","1.5","15.8","44.0","Layak Diminum"
"1","82.6","0.59","25","0","0","0.09","0.01","0.018","0.06","0.003","0.017","0.03","51.5","6.0","0.017","6.96","0.05","6","0.03","0.08","1.8","17.6","44.0","Layak Diminum"
"1","83.7","0.7","25","0","0","0.12","0.02","0.014","0.06","0.002","0.019","0.03","53.5","5.5","0.015","6.91","0.04","8","0.03","0.07","1.8","19.4","48.0","Layak Diminum"
"2","88.4","0.61","25","0","0","0.11","0.01","0.012","0.04","0.002","0.022","0.02","53.5","7.5","0.016","6.95","0.06","10","0.02","0.12","2.1","22.0","46.0","Layak Diminum"
"1","88.6","0.58","25","0","0","0.10","0.02","0.016","0.04","0.003","0.025","0.03","41.6","7.0","0.017","7.24","0.07","9","0.02","0.06","2.4","2.6","18.0","Layak Diminum"
"2","87.8","0.68","25","0","0","0.09","0.02","0.018","0.06","0.002","0.021","0.05","43.6","6.9","0.016","7.30","0.07","14","0.02","0.12","2.4","2.6","18.0","Layak Diminum"
"1","83.6","0.73","25","0","0","0.08","0.01","0.018","0.06","0.002","0.014","0.06","43.6","6.9","0.012","7.22","0.04","15","0.02","0.15","1.5","4.4","20.0","Layak Diminum"
"1","82.4","0.73","25","0","0","0.07","0.02","0.025","0.05","0.003","0.027","0.08","41.6","6.6","0.014","7.28","0.06","21","0.03","0.08","2.1","4.4","22.0","Layak Diminum"
"1","83.4","0.73","25","0","0","0.07","0.03","0.023","0.05","0.002","0.014","0.07","45.5","7.1","0.018","7.33","0.06","18","0.03","0.08","2.7","3.5","18.0","Layak Diminum"
"1","77.8","0.67","25","0","0","0.04","0.01","0.026","0.04","0.002","0.020","0.06","49.5","7.2","0.009","7.16","0.06","13","0.03","0.07","2.1","6.2","20.0","Layak Diminum"
"1","79.3","0.7","25","0","0","0.05","0.01","0.021","0.06","0.004","0.016","0.05","49.5","6.1","0.008","7.28","0.04","15","0.02","0.04","2.7","5.3","24.0","Layak Diminum"
"2","78.5","0.67","25","0","0","0.06","0.01","0.020","0.06","0.002","0.013","0.05","47.5","7.1","0.009","7.30","0.04","14","0.02","0.07","1.5","5.3","20.0","Layak Diminum"
"1","81.7","0.63","24","0","0","0.08","0.02","0.019","0.07","0.003","0.015","0.06","49.5","7.0","0.014","7.35","0.04","19","0.01","0.11","2.4","6.2","22.0","Layak Diminum"
"1","79.6","0.5","24","0","0","0.09","0.01","0.014","0.07","0.002","0.018","0.08","45.5","4.3","0.007","6.87","0.06","19","0.02","0.08","2.4","35.2","12.0","Layak Diminum"
"1","187","1.8","22","0","0","0.06","0.02","0.027","0.08","0.002","0.022","0.07","45.5","4.7","0.008","6.93","0.08","21","0.03","0.13","1.2","31.7","14.0","Layak Diminum"
"2","187","1.76","23","0","0","0.09","0.02","0.025","0.09","0.002","0.021","0.08","45.5","4.1","0.006","6.98","0.06","17","0.03","0.06","2.7","30.8","13.0","Layak Diminum"
"2","196","1.64","24","0","0","0.09","0.01","0.026","0.04","0.003","0.013","0.08","43.6","5.1","0.007","6.91","0.07","16","0.02","0.05","0.9","30.8","15.0","Layak Diminum"
"1","104","0.8","21","0","0","0.09","0.01","0.014","0.04","0.002","0.023","0.04","47.5","5.3","0.012","6.83","0.07","15","0.02","0.02","1.5","33.4","13.0","Layak Diminum"
"1","87","0.76","23","0","0","0.06","0.01","0.019","0.03","0.002","0.029","0.04","41.6","5.4","0.011","6.89","0.04","11","0.02","0.07","1.8","31.7","13.0","Layak Diminum"
"1","87","0.7","24","0","0","0.05","0.02","0.023","0.05","0.002","0.027","0.05","41.6","5.2","0.004","6.87","0.03","14","0.02","0.11","2.1","39.6","12.0","Layak Diminum"
"1","89","0.83","24","0","0","0.05","0.02","0.026","0.05","0.002","0.011","0.06","47.5","4.4","0.004","6.83","0.04","16","0.01","0.15","2.4","33.4","11.0","Layak Diminum"
"1","76","0.92","24","0","0","0.06","0.01","0.017","0.07","0.002","0.014","0.05","47.5","4.2","0.006","6.83","0.06","19","0.02","0.09","3.3","36.1","16.0","Layak Diminum"
"1","79","0.57","24","0","0","0.07","0.01","0.023","0.07","0.002","0.015","0.04","51.5","4.4","0.006","6.85","0.05","14","0.02","0.08","2.4","29.0","14.0","Layak Diminum"
"1","79","0.7","23","0","0","0.08","0.01","0.025","0.08","0.003","0.017","0.04","45.5","4.6","0.005","6.91","0.05","18","0.02","0.05","2.7","33.4","12.0","Layak Diminum"
"2","77","0.89","23","0","0","0.07","0.01","0.018","0.04","0.002","0.019","0.03","51.5","4.1","0.006","6.93","0.05","16","0.03","0.10","1.8","32.6","12.0","Layak Diminum"
"2","73","0.9","23","0","0","0.07","0.01","0.014","0.04","0.002","0.020","0.04","51.5","4.6","0.008","6.85","0.03","13","0.03","0.14","1.8","28.2","18.0","Layak Diminum"
"1","85","0.88","23","0","0","0.04","0.02","0.019","0.02","0.002","0.022","0.05","43.6","4.7","0.008","6.91","0.04","17","0.03","0.12","2.1","26.4","12.0","Layak Diminum"
"1","49","0.49","23","0","0","0.04","0.02","0.017","0.03","0.003","0.023","0.06","45.5","4.6","0.009","6.83","0.04","18","0.03","0.10","2.7","28.2","16.0","Layak Diminum"
"1","47","0.52","23","0","0","0.04","0.01","0.021","0.06","0.002","0.025","0.08","41.6","4.6","0.012","6.83","0.04","19","0.02","0.07","2.4","37.0","16.0","Layak Diminum"
"1","62","0.52","23","0","0","0.08","0.01","0.022","0.07","0.002","0.027","0.09","43.6","4.4","0.010","6.87","0.02","23","0.02","0.05","2.1","29.0","14.0","Layak Diminum"
"1","47","0.47","23","0","0","0.08","0.01","0.020","0.07","0.003","0.022","0.07","45.5","4.3","0.011","6.71","0.06","21","0.02","0.13","1.8","33.4","14.0","Layak Diminum"
"2","49","0.5","24","0","0","0.11","0.01","0.016","0.08","0.002","0.020","0.05","43.6","4.2","0.004","6.90","0.08","15","0.02","0.07","2.1","31.7","12.0","Layak Diminum"
"2","53","0.71","24","0","0","0.08","0.01","0.025","0.06","0.003","0.013","0.02","89.1","12.1","0.008","6.97","0.04","5","0.03","0.06","1.5","79.2","93.0","Layak Diminum"
"2","61","0.57","24","0","0","0.08","0.02","0.021","0.06","0.002","0.015","0.03","87.1","12.0","0.010","6.96","0.06","6","0.03","0.09","1.5","77.4","91.0","Layak Diminum"
"1","59","0.61","24","0","0","0.09","0.02","0.023","0.06","0.003","0.015","0.04","81.2","12.2","0.010","6.93","0.08","13","0.02","0.14","2.1","77.4","91.0","Layak Diminum"
"2","63","0.73","24","0","0","0.06","0.01","0.016","0.08","0.003","0.019","0.02","97","12.1","0.009","7.68","0.07","18","0.02","0.15","2.1","93.3","208.0","Layak Diminum"
"1","59","0.74","24","0","0","0.06","0.01","0.010","0.07","0.003","0.110","0.03","95","39.3","0.004","7.67","0.05","12","0.02","0.08","2.4","98.6","216.0","Layak Diminum"
"1","62","0.57","24","0","0","0.09","0.01","0.017","0.05","0.002","0.017","0.03","87.1","39.4","0.014","7.66","0.06","10","0.02","0.10","2.1","102.1","226.0","Tidak Layak Diminum"
"1","71","0.47","24","0","0","0.05","0.01","0.020","0.05","0.003","0.018","0.03","89.1","40.1","0.012","7.67","0.06","14","0.01","0.12","2.7","107.4","232.0","Tidak Layak Diminum"
"1","60","0.74","24","0","0","0.03","0.01","0.016","0.02","0.002","0.018","0.05","86.1","39.1","0.011","7.64","0.04","12","0.02","0.13","2.2","103.8","222.0","Tidak Layak Diminum"
"1","53","0.77","24","0","0","0.02","0.01","0.016","0.02","0.002","0.018","0.05","86.1","39.1","0.011","7.64","0.04","12","0.02","0.13","2.2","103.8","222.0","Tidak Layak Diminum"
"2","49","0.73","24","0","0","0.02","0.01","0.015","0.03","0.002","0.023","0.06","91.1","39.0","0.011","7.67","0.02","10","0.02","0.14","2.7","105.6","225.0","Tidak Layak Diminum"
"2","52","0.63","23","0","0","0.06","0.02","0.022","0.03","0.002","0.022","0.08","69.3","8.6","0.014","6.69","0.04","17","0.03","0.08","2.4","59.8","42.0","Layak Diminum"
"1","50","0.59","23","0","0","0.07","0.02","0.022","0.03","0.002","0.022","0.08","69.3","8.6","0.014","6.69","0.04","17","0.03","0.08","2.4","59.8","42.0","Layak Diminum"
"1","53","0.64","24","0","0","0.08","0.02","0.014","0.03","0.003","0.023","0.08","69.3","8.8","0.013","6.73","0.07","14","0.03","0.09","1.5","61.6","40.0","Layak Diminum"
"1","47","0.49","20","0","0","0.06","0.02","0.018","0.06","0.002","0.027","0.09","77.2","8.1","0.016","6.91","0.08","12","0.04","0.09","1.2","61.6","38.0","Layak Diminum"
"1","87","0.98","24","0","0","0.05","0.01","0.017","0.05","0.002","0.019","0.05","71.3","8.3","0.021","6.73","0.05","11","0.03","0.09","1.2","63.4","34.0","Layak Diminum"
"2","93","0.96","24","0","0","0.06","0.01","0.018","0.04","0.002","0.013","0.06","73.3","8.3","0.017","6.73","0.04","17","0.02","0.07","1.8","65.1","32.0","Layak Diminum"
"2","93","0.99","24","0","0","0.05","0.01","0.019","0.04","0.002","0.011","0.05","73.2","8.9","0.016","6.78","0.03","14","0.02","0.07","2.4","75.7","36.0","Layak Diminum"
"1","97","1.04","24","0","0","0.06","0.02","0.023","0.07","0.002","0.011","0.04","79.2","8.8","0.018","6.91","0.03","10","0.02","0.06","3.0","66.9","36.0","Layak Diminum"
"1","79","1.1","24","0","0","0.07","0.01","0.021","0.06","0.002","0.014","0.04","77.2","8.8","0.022","7.01","0.06","13","0.02","0.04","3.0","63.4","38.0","Layak Diminum"
"1","92","1.04","24","0","0","0.08","0.01","0.014","0.09","0.003","0.014","0.04","81.2","8.9","0.016","6.93","0.02","11","0.02","0.04","2.4","67.8","40.0","Layak Diminum"
"2","93","0.94","24","0","0","0.09","0.02","0.012","0.13","0.002","0.013","0.03","79.2","8.9","0.017","7.02","0.03","19","0.02","0.08","2.7","61.6","43.0","Layak Diminum"
"1","96","0.97","24","0","0","0.06","0.02","0.016","0.08","0.003","0.017","0.03","83.2","9.0","0.018","7.01","0.01","19","0.02","0.04","3.3","68.6","42.0","Layak Diminum"
"1","99","0.93","24","0","0","0.03","0.01","0.019","0.04","0.003","0.023","0.03","75.2","7.1","0.015","6.96","0.06","17","0.02","0.06","2.7","63.4","40.0","Layak Diminum"
"1","94","0.89","24","0","0","0.06","0.01","0.019","0.12","0.003","0.038","0.03","75.2","7.1","0.029","6.96","0.06","8","0.03","0.07","4.8","61.6","53.0","Tidak Layak Diminum"
"1","91","0.94","24","0","0","0.13","0.01","0.023","0.09","0.003","0.022","0.06","67.3","8.1","0.022","7.21","0.06","8","0.03","0.07","4.8","61.6","53.0","Layak Diminum"
"2","94","1.11","25","0","0","0.07","0.01","0.020","0.05","0.002","0.020","0.06","69.3","9.1","0.024","7.18","0.06","7","0.03","0.06","5.3","54.6","53.0","Layak Diminum"
"2","96","1.08","25","0","0","0.06","0.01","0.022","0.07","0.002","0.021","0.07","69.3","9.0","0.018","7.26","0.05","14","0.02","0.06","4.8","52.8","51.0","Layak Diminum"
"2","88","0.99","24","0","0","0.14","0.02","0.019","0.06","0.002","0.014","0.08","67.3","8.3","0.016","7.26","0.04","16","0.02","0.08","5.3","52.8","45.0","Layak Diminum"
"1","96","0.93","24","0","0","0.09","0.02","0.017","0.06","0.002","0.019","0.08","71.3","8.5","0.014","7.20","0.03","19","0.02","0.08","5.0","55.4","44.0","Layak Diminum"
"1","128","0.8","25","0","0","0.07","0.02","0.018","0.08","0.003","0.017","0.08","65.3","8.6","0.016","7.28","0.03","15","0.02","0.13","5.3","56.3","47.0","Layak Diminum"
"1","125","0.83","25","0","0","0.06","0.02","0.019","0.08","0.002","0.018","0.08","65.3","8.8","0.021","7.18","0.02","13","0.02","0.14","4.8","59.8","48.0","Layak Diminum"
"1","127","0.85","25","0","0","0.08","0.02","0.012","0.03","0.003","0.018","0.09","67.3","8.9","0.020","7.17","0.06","20","0.02","0.11","4.2","52.8","50.0","Layak Diminum"
"2","122","0.81","25","0","0","0.08","0.01","0.022","0.04","0.002","0.019","0.05","69.3","8.5","0.018","7.09","0.07","17","0.03","0.15","4.2","45.8","53.0","Layak Diminum"
"2","131","0.9","25","0","0","0.09","0.01","0.014","0.04","0.002","0.011","0.05","71.3","8.7","0.019","7.19","0.08","11","0.02","0.08","4.8","44.0","47.0","Layak Diminum"
"2","136","0.83","25","0","0","0.05","0.02","0.026","0.05","0.002","0.014","0.06","77.2","9.0","0.019","7.22","0.03","14","0.02","0.10","4.8","44.0","46.0","Layak Diminum"
"2","128","0.85","25","0","0","0.06","0.01","0.025","0.06","0.003","0.014","0.06","67.3","9.1","0.017","7.30","0.03","17","0.02","0.14","5.3","47.5","44.0","Layak Diminum"
"1","127","0.82","25","0","0","0.14","0.01","0.013","0.06","0.002","0.015","0.06","69.3","9.3","0.016","7.28","0.05","18","0.03","0.06","5.3","46.6","53.0","Layak Diminum"
"1","121","0.89","25","0","0","0.11","0.01","0.022","0.02","0.002","0.016","0.07","70.3","9.1","0.016","7.22","0.04","16","0.02","0.06","5.0","48.4","51.0","Layak Diminum"
"2","121","0.92","25","0","0","0.11","0.01","0.011","0.03","0.003","0.017","0.08","73.3","9.1","0.015","7.18","0.02","13","0.02","0.07","4.8","46.4","42.0","Layak Diminum"
"1","170","0.64","25","0","0","0.03","0.01","0.014","0.07","0.002","0.008","0.05","65.3","8.1","0.014","7.29","0.06","14","0.02","0.09","2.4","48.4","33.0","Layak Diminum"
"1","165","0.93","26","0","0","0.09","0.01","0.019","0.05","0.002","0.019","0.04","67.3","8.3","0.015","7.22","0.04","17","0.02","0.09","3.9","35.2","35.0","Layak Diminum"
